Date,Open,High,Low,Close,Volume,30MA,Volatility
2022-12-06,122.2,246.28,104.22,150.56,22523,,
2022-12-07,187.07,248.07,132.0,185.87,24186,,
2022-12-08,120.67,200.33,115.01,173.52,39571,,
2022-12-09,191.86,221.65,143.88,181.71,34788,,
2022-12-10,148.84,229.16,107.87,186.96,44271,,
2022-12-11,161.17,217.44,122.45,173.14,47582,,
2022-12-12,176.59,218.8,107.1,172.02,46688,,
2022-12-13,151.84,217.79,146.91,187.13,23505,,
2022-12-14,129.68,211.55,106.67,177.66,22746,,
2022-12-15,118.77,201.3,130.57,181.7,30333,,
2022-12-16,108.07,236.56,111.26,170.26,40119,,
2022-12-17,173.84,249.93,131.01,189.77,43204,,
2022-12-18,144.13,201.92,127.19,172.5,16263,,
2022-12-19,115.83,242.95,136.38,155.64,31540,,
2022-12-20,187.99,227.22,127.58,151.63,48378,,
2022-12-21,127.41,200.98,117.37,183.66,21414,,
2022-12-22,141.42,203.44,117.03,153.69,38278,,
2022-12-23,129.61,226.27,99.38,173.47,11061,,
2022-12-24,162.88,205.23,97.05,169.96,48104,,
2022-12-25,157.98,214.8,99.28,182.58,20149,,
2022-12-26,159.99,213.74,145.77,164.78,21752,,
2022-12-27,126.58,248.53,130.23,156.62,34234,,
2022-12-28,128.47,223.48,144.29,157.14,15740,,
2022-12-29,125.36,214.26,126.88,154.7,36746,,
2022-12-30,132.76,246.91,102.77,170.77,16157,,
2022-12-31,114.42,248.34,90.75,152.85,11016,,
2023-01-01,116.56,235.97,122.02,166.82,17638,,
2023-01-02,196.39,206.84,148.38,159.23,18878,,
2023-01-03,196.02,244.49,137.62,155.69,15222,,
2023-01-04,118.84,222.06,94.14,179.24,33274,169.709,12.384352014844637
2023-01-05,102.43,239.31,111.84,181.94,21308,170.755,12.031399652002554
2023-01-06,120.46,236.07,98.0,179.64,42482,170.54733333333334,11.813301951127212
2023-01-07,169.98,232.66,106.23,165.79,10504,170.28966666666668,11.830516788004852
2023-01-08,177.95,238.35,130.66,168.96,45156,169.8646666666667,11.63348014266949
2023-01-09,102.29,240.59,109.54,178.76,23646,169.59133333333332,11.30979609966918
2023-01-10,157.77,223.08,120.57,175.72,29692,169.67733333333334,11.34745723706975
2023-01-11,100.16,224.23,107.36,171.37,35689,169.65566666666666,11.343449783399493
