Date,Open,High,Low,Close,Volume,30MA,Volatility
2023-06-03,140.84,215.61,144.51,188.32,45989,172.85466666666667,10.869311031470698
2023-06-04,152.79,205.92,144.52,185.42,46802,173.01500000000001,11.02205774329602
2023-06-05,193.76,218.77,134.07,168.5,24866,173.39700000000002,10.64132126551314
2023-06-06,152.17,201.49,139.88,157.74,35731,172.74166666666667,10.986084641360016
2023-06-07,110.82,226.89,99.72,183.44,37654,172.79033333333334,11.031559893240889
2023-06-08,115.82,247.29,140.73,185.9,18165,172.8036666666667,11.047681137041705
2023-06-09,154.52,222.26,114.94,176.88,47813,173.30200000000002,10.8761305872872
2023-06-10,152.44,231.21,107.2,182.22,41321,173.15966666666665,10.724473938817132
2023-06-11,163.76,230.59,123.71,150.76,23381,172.404,11.47704894185753
2023-06-12,140.15,246.67,141.45,174.82,49371,172.839,11.306140031584304
2023-06-13,164.98,236.73,115.99,182.28,28695,173.87366666666668,10.663400015241743
2023-06-14,139.69,241.24,94.67,161.43,18011,173.3683333333333,10.88710153737245
2023-06-15,162.39,216.79,107.24,156.21,18643,172.3093333333333,10.961694411349736
2023-06-16,176.74,245.37,107.12,185.62,28937,172.73066666666668,11.228046759031088
2023-06-17,117.9,209.26,131.82,181.29,11419,173.37333333333333,11.144723301691453
2023-06-18,137.56,220.4,147.3,164.33,33899,173.41133333333335,11.110695602958858
2023-06-19,150.25,236.87,123.01,173.11,37152,173.52733333333333,11.0879987726194
2023-06-20,168.67,216.67,105.22,159.12,14331,172.51933333333332,10.972982159434343
2023-06-21,125.37,244.31,132.19,163.25,42819,172.387,11.062667929759886
2023-06-22,155.47,243.03,98.86,177.46,46732,172.786,11.021118786690616
2023-06-23,162.49,208.26,93.7,180.45,22666,173.14166666666668,11.092701260935852
2023-06-24,189.55,211.54,128.94,185.18,47808,174.0186666666667,10.96477077557573
2023-06-25,136.29,202.62,112.55,176.36,46562,174.50966666666667,10.717903321508151
2023-06-26,163.76,242.94,117.05,181.98,49282,174.49566666666666,10.707510636137073
2023-06-27,119.14,216.96,94.44,157.58,22313,173.55766666666668,10.920767209165373
2023-06-28,149.78,219.66,118.78,178.76,13089,174.02266666666668,10.83208418616159
2023-06-29,118.24,213.52,126.37,189.23,44324,174.68766666666667,11.138920174041923
2023-06-30,191.84,206.16,148.95,186.35,17155,174.69466666666668,11.146428756466733
2023-07-01,143.18,222.85,91.29,181.37,28710,174.78900000000002,11.191976605802372
2023-07-02,183.02,211.74,121.0,185.72,38778,175.36933333333334,11.295338658150044
2023-07-03,141.68,228.16,119.21,168.2,32778,174.69866666666667,11.095418978067055
2023-07-04,190.47,210.14,127.51,162.71,33767,173.94166666666666,11.113413791088412
2023-07-05,140.48,225.57,141.19,175.55,46280,174.17666666666665,11.068827409887875
2023-07-06,133.12,247.42,119.88,173.42,36725,174.69933333333333,10.627327147446369
2023-07-07,157.21,218.59,124.35,151.61,35874,173.63833333333335,11.292672046686869
2023-07-08,184.54,247.71,120.15,160.8,15660,172.80166666666665,11.282703907807933
2023-07-09,186.1,202.86,137.79,173.38,38718,172.68499999999997,11.257145087331931
2023-07-10,159.57,227.44,144.42,152.6,46948,171.69766666666666,11.682911683407477
2023-07-11,108.47,229.99,109.36,152.51,11383,171.756,11.578667840711093
2023-07-12,159.73,248.09,133.46,165.06,37401,171.43066666666667,11.626625191057522
2023-07-13,124.55,246.26,129.29,154.85,11203,170.51633333333334,11.820940356821884
2023-07-14,173.26,225.55,112.4,166.59,40483,170.68833333333336,11.721291291501545
2023-07-15,189.47,237.97,138.21,177.0,42705,171.38133333333334,11.447148337357707
2023-07-16,151.47,248.8,131.7,168.89,32969,170.82366666666667,11.13276663675772
2023-07-17,160.36,236.83,119.51,150.74,19940,169.80533333333335,11.532436633801366
2023-07-18,106.51,247.7,124.32,187.14,39154,170.56566666666666,11.904916307931385
2023-07-19,154.01,246.94,146.94,160.04,13796,170.13,12.046899443711506
2023-07-20,112.92,224.09,128.41,150.3,22976,169.83599999999998,12.4265032671414
2023-07-21,161.46,232.99,128.09,167.7,11865,169.98433333333332,12.371614530527292
2023-07-22,136.37,208.99,112.84,184.02,18394,170.203,12.564767969920139
2023-07-23,176.78,221.85,136.91,187.35,48288,170.433,12.819381917963936
2023-07-24,104.85,243.31,142.34,155.33,11309,169.438,12.793702491783835
2023-07-25,110.98,228.86,108.57,152.76,14146,168.65133333333333,13.075855805929924
2023-07-26,168.4,213.97,109.58,183.39,41419,168.69833333333332,13.12784723359111
2023-07-27,151.47,206.14,130.39,183.77,20443,169.5713333333333,13.233375708551398
2023-07-28,157.16,211.59,107.33,186.6,17400,169.83266666666665,13.495899487937281
2023-07-29,184.37,206.25,94.9,181.62,47810,169.579,13.18671493168997
2023-07-30,148.77,211.69,107.29,183.46,11495,169.48266666666666,13.070012250563696
2023-07-31,181.01,219.18,131.82,182.71,20238,169.52733333333333,13.114252823795828
2023-08-01,151.02,202.14,120.16,151.59,44609,168.38966666666667,13.141461232805634
2023-08-02,192.67,241.94,124.8,157.04,31127,168.01766666666666,13.303965621737298
2023-08-03,166.69,220.19,127.57,151.74,33698,167.652,13.60229351857683
2023-08-04,114.87,228.37,122.11,150.04,15419,166.80166666666668,13.885941062650465
2023-08-05,136.46,231.81,147.68,189.06,45503,167.323,14.426076521116316
2023-08-06,186.58,206.64,138.64,189.97,38128,168.60166666666663,14.683062511364708
2023-08-07,135.03,204.14,147.8,172.22,19727,168.98233333333334,14.621732215729633
2023-08-08,118.9,207.83,131.6,155.92,22279,168.40033333333335,14.787203107657868
2023-08-09,147.26,249.31,138.1,155.45,36292,168.49533333333332,14.691036144142652
2023-08-10,139.28,205.23,135.08,186.46,21101,169.62699999999998,14.724771563124738
2023-08-11,161.89,221.13,146.47,186.71,28073,170.34866666666667,15.02078484871095
2023-08-12,143.68,243.75,110.43,173.39,48132,170.96666666666667,14.739904396202691
2023-08-13,126.09,229.21,109.47,178.89,46121,171.37666666666664,14.784964014820606
2023-08-14,141.25,200.88,90.72,173.98,28600,171.27599999999998,14.755608074734583
2023-08-15,141.9,244.44,94.07,178.52,48606,171.597,14.806571735270936
2023-08-16,190.24,219.21,147.7,189.13,15365,172.87666666666664,14.599324106540555
2023-08-17,197.96,208.39,118.5,167.39,35478,172.21833333333333,14.377576430782366
2023-08-18,162.36,216.86,97.3,153.09,39617,171.98666666666668,14.634274444117382
2023-08-19,108.32,229.71,96.47,153.12,23320,172.08066666666667,14.498599440881401
2023-08-20,173.3,201.89,121.06,176.17,18103,172.363,14.492820136786403
2023-08-21,167.87,232.17,129.09,152.36,11276,171.30766666666665,14.76486479107921
2023-08-22,182.6,230.51,140.05,154.32,41043,170.20666666666668,14.758859486197881
2023-08-23,134.75,211.44,124.29,185.32,32573,171.20633333333336,14.732103926186307
2023-08-24,105.89,221.3,110.03,187.52,35079,172.36499999999998,14.597596578275104
2023-08-25,161.18,209.68,132.05,154.54,24506,171.4033333333333,14.795200604234477
2023-08-26,112.4,201.07,101.26,158.84,46868,170.57233333333335,14.776760571536162
2023-08-27,175.95,229.2,109.97,189.63,48426,170.67333333333332,14.899929954321196
2023-08-28,179.44,222.27,97.26,186.79,22128,170.84566666666666,15.059944516849145
2023-08-29,140.86,242.1,130.84,175.13,14732,170.568,14.895240017281148
2023-08-30,194.38,209.95,122.38,168.96,43781,170.10966666666667,14.71924906333559
2023-08-31,117.38,222.03,116.37,181.59,15573,171.10966666666667,14.433978705276232
2023-09-01,194.26,233.37,103.82,169.51,24516,171.52533333333335,14.192363836386374
2023-09-02,146.55,203.42,140.62,189.03,11245,172.76833333333335,14.031829601089907
2023-09-03,176.3,217.77,113.79,180.73,30393,173.7913333333333,13.423204492615564
2023-09-04,175.28,234.3,144.74,175.48,13114,173.33866666666665,13.116010677487038
2023-09-05,198.12,212.25,106.31,154.48,41480,172.15566666666666,13.164641431614783
2023-09-06,197.33,218.2,128.24,178.82,46142,172.3756666666667,13.220781625214494
2023-09-07,104.01,228.87,134.25,154.7,11933,172.335,13.274909636681862
2023-09-08,101.6,220.47,100.16,155.85,45036,172.34833333333333,13.25755505709684
2023-09-09,154.33,243.84,100.92,184.5,24991,172.283,13.190273362569492
2023-09-10,103.39,242.99,135.88,172.93,42091,171.82366666666667,12.907451331888003
2023-09-11,165.75,241.7,95.36,172.52,44126,171.79466666666667,12.90478786672053
2023-09-12,153.49,221.31,118.7,177.94,22347,171.763,12.88793104232499
2023-09-13,166.66,209.51,94.97,183.81,20345,172.09066666666666,13.069915951853162
2023-09-14,144.13,231.94,147.82,187.87,14204,172.40233333333336,13.337263505535608
2023-09-15,127.25,221.41,140.11,152.58,18132,171.18400000000003,13.425625677322683
2023-09-16,194.97,225.29,103.94,151.61,39462,170.658,13.880800533408575
2023-09-17,172.83,232.55,140.61,153.1,20161,170.65833333333333,13.880364221429499
2023-09-18,100.63,247.0,134.85,189.12,30371,171.85833333333332,13.867986971571549
2023-09-19,109.93,240.41,96.51,171.36,38019,171.69799999999998,13.844203916042465
2023-09-20,163.17,206.16,106.01,165.02,32049,172.12,13.420895185724646
2023-09-21,128.8,245.37,128.51,174.37,43562,172.78833333333333,12.99643826097229
2023-09-22,140.76,233.85,132.43,154.85,40340,171.77266666666668,13.172736456299674
2023-09-23,178.15,215.97,110.62,165.55,32810,171.04033333333334,12.874409657261513
2023-09-24,135.41,236.5,97.74,161.84,25050,171.28366666666668,12.618228599470916
2023-09-25,192.58,223.75,119.69,176.99,10633,171.88866666666667,12.434806193000007
2023-09-26,172.05,228.05,135.84,156.26,17057,170.77633333333333,12.284682776512394
2023-09-27,155.19,228.59,121.27,188.92,31351,170.84733333333332,12.386162171283457
2023-09-28,118.1,207.57,101.66,151.65,20595,170.06466666666668,12.839745333529205
2023-09-29,140.96,218.1,108.26,154.12,40734,169.57000000000002,13.165503513296427
2023-09-30,176.29,221.79,135.44,156.61,10536,168.73733333333334,13.169014293836279
2023-10-01,199.08,202.89,117.64,189.59,26935,169.40666666666667,13.708871613650048
