Date,Open,High,Low,Close,Volume,30MA,Volatility
2023-09-01,187.81,231.08,90.75,186.75,12547,173.24766666666667,12.044886075621994
2023-09-02,109.83,205.74,94.32,165.8,44350,172.9346666666667,12.11447573355325
2023-09-03,142.11,247.47,148.04,188.53,24553,173.93866666666665,12.117333191678807
2023-09-04,195.79,222.5,124.09,156.96,12559,173.167,12.443512130340494
2023-09-05,153.32,228.92,102.2,155.05,41077,173.2466666666667,12.314677347008304
2023-09-06,169.19,220.41,105.14,155.4,41842,173.07966666666667,12.526900567023429
2023-09-07,131.55,211.85,134.63,170.23,35291,172.68099999999998,12.416796563387502
2023-09-08,168.65,245.17,101.73,150.86,33994,172.45166666666668,12.761030410058458
2023-09-09,183.46,228.68,124.88,187.92,36282,172.863,13.060707101837936
2023-09-10,101.83,200.14,148.2,183.08,14890,173.26600000000002,13.186836069248805
2023-09-11,175.01,230.86,140.81,150.6,38904,172.05299999999997,13.549583312081394
2023-09-12,198.89,216.33,104.39,157.05,17061,171.93699999999998,13.66603116969351
2023-09-13,174.82,226.35,119.63,163.28,16108,172.29166666666666,13.280589435229388
2023-09-14,128.04,244.3,127.2,155.24,46389,171.48633333333333,13.564179114766635
2023-09-15,178.93,217.86,139.74,182.38,33529,171.53600000000003,13.602472797506218
2023-09-16,110.32,245.43,99.41,163.79,41208,170.78533333333334,13.378592197813733
2023-09-17,144.79,231.17,91.11,187.6,31738,170.796,13.392317303537162
2023-09-18,190.86,200.79,94.2,173.28,28187,171.55333333333334,12.839511574482284
2023-09-19,129.36,246.47,119.18,185.15,32422,172.41266666666667,12.85867584037393
2023-09-20,128.78,234.54,126.38,183.79,45334,172.71666666666667,13.020668538727278
2023-09-21,113.0,249.87,124.13,186.22,20336,172.65866666666668,12.954131742243566
2023-09-22,101.94,208.62,109.04,168.4,13726,172.005,12.643835556752824
2023-09-23,167.88,206.86,149.32,171.85,28532,171.991,12.643764539255626
2023-09-24,121.16,246.63,124.78,181.94,47207,171.835,12.48491993815215
2023-09-25,126.55,234.84,112.81,161.43,22195,171.36066666666667,12.60433311735823
2023-09-26,149.16,203.3,123.06,169.61,21967,171.49433333333334,12.5623283816264
2023-09-27,105.34,237.77,134.72,173.96,10379,171.64499999999998,12.563945336310296
2023-09-28,157.41,237.69,130.15,150.62,12592,170.86,13.123967545598823
2023-09-29,114.67,246.15,105.9,173.74,34174,170.91866666666667,13.133077411591342
2023-09-30,158.93,235.58,93.98,167.35,16833,170.262,12.786621618464876
2023-10-01,169.98,206.21,112.21,182.29,21238,170.11333333333332,12.613059278692711
