OriginCity,OriginLat,OriginLong,DestCity,DestLat,DestLong,Distance,TimeOfFlight,AirFarePrice
City_1,34.44,-112.79,City_2,47.41,-111.72,1444.96,,
City_1,34.44,-112.79,City_3,34.13,-71.8,3739.73,0.63,82.0
City_1,34.44,-112.79,City_4,48.37,-71.99,3683.64,2.63,225.0
City_1,34.44,-112.79,City_5,39.77,-110.58,624.17,,
City_1,34.44,-112.79,City_6,42.23,-118.78,1010.92,,
City_1,34.44,-112.79,City_7,45.32,-109.77,1236.69,,
City_1,34.44,-112.79,City_8,40.37,-85.01,2529.22,,
City_1,34.44,-112.79,City_9,35.94,-81.02,2879.16,,
City_1,34.44,-112.79,City_10,33.75,-118.85,563.18,,
City_1,34.44,-112.79,City_11,31.61,-91.12,2040.61,,
City_1,34.44,-112.79,City_12,44.77,-119.92,1299.7,,
City_1,34.44,-112.79,City_13,38.83,-94.23,1723.0,,
City_1,34.44,-112.79,City_14,33.17,-88.01,2288.23,2.12,750.0
City_1,34.44,-112.79,City_15,47.6,-70.72,3764.58,,
City_1,34.44,-112.79,City_16,35.48,-107.05,535.63,1.21,769.0
City_1,34.44,-112.79,City_17,38.28,-79.88,2961.92,2.14,227.0
City_1,34.44,-112.79,City_18,35.92,-76.48,3285.12,1.3,63.0
City_1,34.44,-112.79,City_19,42.58,-73.86,3473.03,,
City_1,34.44,-112.79,City_20,41.6,-119.89,1009.49,3.13,72.0
City_1,34.44,-112.79,City_21,42.0,-96.53,1646.45,,
City_1,34.44,-112.79,City_22,35.32,-70.93,3790.86,4.15,995.0
City_1,34.44,-112.79,City_23,35.69,-100.05,1166.97,0.95,219.0
City_1,34.44,-112.79,City_24,35.07,-79.31,3044.96,,
City_1,34.44,-112.79,City_25,36.55,-92.68,1832.23,0.66,584.0
City_2,47.41,-111.72,City_3,34.13,-71.8,3622.0,4.37,320.0
City_2,47.41,-111.72,City_4,48.37,-71.99,2930.88,3.64,570.0
City_2,47.41,-111.72,City_5,39.77,-110.58,854.45,4.87,830.0
City_2,47.41,-111.72,City_6,42.23,-118.78,800.51,3.08,250.0
City_2,47.41,-111.72,City_7,45.32,-109.77,276.38,,
City_2,47.41,-111.72,City_8,40.37,-85.01,2265.44,,
City_2,47.41,-111.72,City_9,35.94,-81.02,2825.77,,
City_2,47.41,-111.72,City_10,33.75,-118.85,1632.17,,
City_2,47.41,-111.72,City_11,31.61,-91.12,2477.01,,
City_2,47.41,-111.72,City_12,44.77,-119.92,696.7,,
City_2,47.41,-111.72,City_13,38.83,-94.23,1704.21,3.08,777.0
City_2,47.41,-111.72,City_14,33.17,-88.01,2541.88,,
City_2,47.41,-111.72,City_15,47.6,-70.72,3043.35,4.54,616.0
City_2,47.41,-111.72,City_16,35.48,-107.05,1381.81,3.92,947.0
City_2,47.41,-111.72,City_17,38.28,-79.88,2763.48,,
City_2,47.41,-111.72,City_18,35.92,-76.48,3159.6,,
City_2,47.41,-111.72,City_19,42.58,-73.86,2994.48,,
City_2,47.41,-111.72,City_20,41.6,-119.89,914.0,,
City_2,47.41,-111.72,City_21,42.0,-96.53,1339.63,,
City_2,47.41,-111.72,City_22,35.32,-70.93,3610.18,,
City_2,47.41,-111.72,City_23,35.69,-100.05,1621.4,,
City_2,47.41,-111.72,City_24,35.07,-79.31,3007.68,,
City_2,47.41,-111.72,City_25,36.55,-92.68,1974.72,,
City_3,34.13,-71.8,City_4,48.37,-71.99,1583.49,0.87,932.0
City_3,34.13,-71.8,City_5,39.77,-110.58,3474.93,4.3,70.0
City_3,34.13,-71.8,City_6,42.23,-118.78,4149.71,,
City_3,34.13,-71.8,City_7,45.32,-109.77,3439.33,2.52,464.0
City_3,34.13,-71.8,City_8,40.37,-85.01,1357.43,,
City_3,34.13,-71.8,City_9,35.94,-81.02,862.86,3.89,934.0
City_3,34.13,-71.8,City_10,33.75,-118.85,4300.8,4.13,647.0
City_3,34.13,-71.8,City_11,31.61,-91.12,1823.15,4.19,451.0
City_3,34.13,-71.8,City_12,44.77,-119.92,4231.2,,
City_3,34.13,-71.8,City_13,38.83,-94.23,2066.53,,
City_3,34.13,-71.8,City_14,33.17,-88.01,1502.66,,
City_3,34.13,-71.8,City_15,47.6,-70.72,1500.51,4.84,695.0
City_3,34.13,-71.8,City_16,35.48,-107.05,3204.79,3.82,509.0
City_3,34.13,-71.8,City_17,38.28,-79.88,858.85,,
City_3,34.13,-71.8,City_18,35.92,-76.48,470.27,,
City_3,34.13,-71.8,City_19,42.58,-73.86,956.52,3.11,52.0
City_3,34.13,-71.8,City_20,41.6,-119.89,4246.37,,
City_3,34.13,-71.8,City_21,42.0,-96.53,2324.67,,
City_3,34.13,-71.8,City_22,35.32,-70.93,154.37,,
City_3,34.13,-71.8,City_23,35.69,-100.05,2572.97,4.5,599.0
