StudentID,HW1,HW2,Final
1,100,93,67
2,94,61,72
3,91,79,70
4,71,88,75
5,87,99,78
6,86,82,84
7,89,72,81
8,84,69,69
9,90,90,74
10,85,85,66
11,77,72,64
12,99,77,89
13,99,74,65
14,100,91,90
15,91,70,67
16,86,87,73
17,85,93,81
18,75,87,70
19,100,67,74
20,79,100,68
21,78,70,65
22,88,86,68
23,100,69,64
24,92,54,86
25,80,83,68
26,83,84,87
27,96,79,43
28,88,84,70
29,82,70,76
30,88,69,67
31,97,77,81
32,100,100,76
33,78,92,67
34,84,72,74
35,82,88,98
36,66,73,73
37,81,73,73
38,80,93,66
39,100,72,71
40,89,55,57
41,74,66,68
42,96,81,95
43,86,82,81
44,73,99,76
45,84,69,81
46,84,91,89
47,81,86,76
48,90,78,91
49,68,93,81
50,87,87,72
51,100,67,87
52,99,96,46
53,100,62,64
54,100,81,73
55,100,80,61
56,79,86,68
57,98,69,64
58,71,79,63
59,84,78,97
60,71,95,76
61,100,68,69
62,100,81,83
63,88,76,68
64,100,61,79
65,83,100,74
66,92,79,86
67,92,58,56
68,79,100,78
69,94,64,71
70,100,86,58
71,80,93,81
72,99,70,61
73,88,74,86
74,100,72,75
75,95,78,77
76,97,56,71
77,96,61,79
78,92,78,51
79,76,96,71
80,100,89,64
81,76,100,73
82,92,90,70
83,96,72,76
84,82,78,62
85,91,50,88
86,100,66,93
87,90,65,68
88,81,84,70
89,61,90,73
90,80,72,83
91,84,71,89
92,85,57,58
93,80,78,64
94,94,84,59
95,84,87,59
96,89,68,54
97,97,100,74
98,81,98,58
99,87,79,85
100,100,72,79
