StudentID,HW1,HW2,Final,Total,Grade
117,100,95,94,96,S
56,92,92,93,93,S
112,94,91,90,92,S
174,100,89,86,91,S
162,99,99,83,91,S
63,91,93,87,90,S
131,100,95,81,90,S
195,87,89,90,89,S
179,87,86,91,89,S
136,92,89,86,89,S
95,100,100,77,89,S
103,96,79,88,88,S
87,84,100,84,88,S
27,100,100,76,88,S
48,100,75,85,87,S
91,90,95,81,87,S
155,100,89,78,87,S
138,99,75,86,87,S
175,100,75,86,87,S
4,97,100,75,87,S
58,96,78,85,86,S
16,94,92,78,86,S
64,83,80,89,86,S
158,87,84,86,86,S
8,96,100,73,86,S
40,98,98,73,86,S
3,80,98,82,86,S
147,89,100,75,85,S
79,99,81,80,85,S
125,97,77,83,85,S
145,90,76,86,85,S
157,98,73,84,85,S
173,100,95,72,85,S
73,100,77,80,85,S
104,89,100,73,84,S
134,78,92,83,84,S
116,99,77,80,84,S
45,89,100,72,84,S
75,98,77,79,84,S
19,97,95,71,84,S
13,94,77,81,84,S
65,93,84,78,84,S
31,83,77,87,84,S
166,80,100,77,84,S
26,94,100,71,84,S
122,100,100,68,84,S
69,92,76,84,84,S
22,91,83,80,84,S
120,88,81,81,83,S
2,95,81,77,83,S
126,95,87,75,83,S
86,100,79,76,83,S
105,100,89,70,83,S
121,94,89,71,82,S
78,94,64,85,82,S
47,87,84,77,82,S
9,93,74,80,82,S
123,87,89,75,82,S
176,91,90,72,82,S
51,98,82,72,81,S
169,91,76,78,81,S
11,96,100,63,81,S
178,88,92,71,81,S
71,100,88,67,81,S
108,87,100,68,81,S
99,81,93,74,81,S
33,90,100,66,81,S
146,85,86,75,81,S
160,92,60,86,81,S
42,95,79,74,81,S
84,84,100,70,81,S
44,90,90,72,81,S
152,92,82,74,81,S
93,92,100,64,80,S
92,92,85,71,80,S
102,97,73,74,80,S
101,97,98,62,80,S
41,79,90,74,80,S
137,93,68,78,80,S
196,90,79,75,80,S
14,93,71,78,80,S
32,95,100,61,80,S
68,84,85,74,80,S
107,90,100,64,80,S
141,81,57,90,80,S
135,100,66,76,80,S
60,93,81,73,80,S
62,94,77,74,80,S
197,87,79,74,79,S
67,100,75,70,79,S
66,80,86,75,79,S
23,92,60,81,79,S
98,88,89,68,79,S
109,91,99,62,79,S
111,100,74,70,79,S
168,75,66,86,79,S
38,99,79,68,79,S
119,96,100,59,79,S
149,100,74,71,79,S
148,96,92,64,79,S
124,78,91,73,79,S
172,95,88,64,78,S
113,73,98,69,78,S
187,84,78,74,78,S
114,86,62,81,78,S
1,91,73,73,78,S
50,98,75,69,78,S
96,95,80,67,78,S
90,88,100,62,78,S
37,100,70,70,78,S
59,95,91,62,78,S
171,89,70,74,77,S
20,90,76,71,77,S
151,91,76,69,77,S
144,81,97,65,77,S
53,90,81,67,77,S
36,98,65,72,77,S
34,66,100,70,77,S
30,76,97,67,77,S
70,100,97,54,77,S
167,94,71,71,77,S
46,98,51,78,77,S
150,100,74,66,77,S
97,85,76,72,77,S
17,84,96,64,77,S
177,100,83,62,77,S
198,99,95,57,77,S
189,100,69,69,77,S
18,100,52,75,76,S
74,89,97,58,76,S
110,88,72,71,76,S
143,87,75,71,76,S
142,79,75,74,76,S
140,79,100,62,76,S
154,100,79,62,76,S
61,100,74,64,76,S
182,100,90,57,76,S
164,83,64,78,76,S
21,80,83,69,76,S
185,85,79,67,75,S
100,93,99,53,75,S
39,87,66,73,75,S
184,86,49,81,75,S
191,81,75,72,75,S
180,77,82,69,75,S
170,76,100,61,75,S
186,87,84,63,75,S
106,88,81,64,75,S
52,72,100,64,75,S
139,83,86,65,75,S
80,87,89,61,75,S
128,100,79,59,75,S
77,81,95,60,74,S
199,85,87,61,74,S
54,90,74,66,74,S
192,93,46,78,74,S
159,88,92,57,74,S
25,100,65,65,74,S
165,89,82,60,73,S
193,100,84,54,73,S
127,97,64,65,73,S
200,80,74,68,73,S
35,79,74,69,73,S
163,75,80,65,72,S
15,78,64,73,72,S
132,86,87,56,72,S
7,84,59,72,72,S
194,88,88,56,72,S
29,100,62,61,71,S
153,85,67,65,71,S
5,86,74,62,71,S
89,99,47,69,71,S
76,90,74,59,71,S
49,88,69,62,71,S
57,75,69,69,71,S
115,76,73,66,71,S
188,76,43,80,70,S
156,84,73,60,70,S
183,84,78,59,70,S
118,85,64,65,70,S
83,66,61,76,70,S
12,89,70,59,70,S
81,79,93,53,70,S
55,82,62,65,69,S
94,86,79,54,69,S
161,86,65,62,69,S
43,77,74,59,68,S
82,85,64,61,68,S
85,79,68,61,68,S
129,83,81,53,68,S
133,78,52,71,68,S
28,79,81,54,67,S
72,92,54,61,67,S
24,78,75,56,67,S
10,79,87,51,67,S
88,75,73,59,67,S
6,74,58,65,66,S
181,92,54,56,65,S
190,70,66,62,65,S
130,70,65,60,64,U
