StudentID,HW1,HW2,Final
1,86,95,82
2,89,74,74
3,69,74,59
4,100,79,74
5,72,87,67
6,82,99,96
7,95,70,88
8,78,88,74
9,79,83,63
10,81,52,64
11,96,74,67
12,100,78,64
13,90,79,61
14,79,85,64
15,95,49,67
16,84,81,65
17,90,70,63
18,100,58,61
19,83,88,96
20,90,91,55
21,81,70,60
22,88,93,74
23,93,74,67
24,80,81,74
25,87,64,78
26,88,100,83
27,84,40,78
28,78,79,60
29,76,90,81
30,88,49,52
31,87,77,69
32,100,79,65
33,66,92,59
34,91,99,76
35,94,74,68
36,100,59,80
37,95,100,55
38,82,98,78
39,90,73,75
40,95,85,71
41,87,86,56
42,98,88,67
43,71,83,55
44,100,100,49
45,100,54,100
46,87,96,80
47,96,86,88
48,90,77,66
49,82,98,77
50,91,45,77
