StudentID,HW1,HW2,Final
1,94,86,65
2,87,100,69
3,100,90,89
4,87,88,53
5,91,73,49
6,100,95,60
7,81,100,66
8,84,54,59
9,92,59,70
10,87,100,69
11,78,86,54
12,88,82,72
13,86,88,56
14,96,96,77
15,73,92,72
16,83,77,92
17,100,100,78
18,100,80,68
19,75,67,73
20,96,72,71
21,80,78,63
22,81,74,55
23,81,77,81
24,86,85,85
25,100,31,65
26,97,68,67
27,91,94,65
28,86,88,80
29,90,70,82
30,89,71,61
31,98,97,67
32,84,76,65
33,90,72,72
34,89,100,78
35,89,74,81
36,92,90,67
37,92,79,60
38,100,81,75
39,89,66,76
40,100,68,66
41,87,99,72
42,85,63,74
43,91,84,79
44,94,62,71
45,93,76,75
46,100,79,72
47,100,56,60
48,95,97,77
49,87,77,71
50,89,98,81
51,100,66,58
52,92,94,63
53,77,100,73
54,83,83,53
55,84,70,69
56,100,87,66
57,89,82,66
58,100,77,67
59,97,78,48
60,91,71,70
61,86,86,71
62,100,74,80
63,88,67,84
64,82,92,74
65,96,78,79
66,90,100,46
67,100,76,75
68,89,69,81
69,61,72,79
70,98,86,72
71,71,70,66
72,100,61,66
73,100,100,70
74,86,61,74
75,78,100,76
76,76,82,69
77,99,64,57
78,88,100,88
79,84,77,61
80,88,65,43
81,100,81,84
82,93,99,80
83,97,90,72
84,98,92,80
85,100,100,74
86,100,83,62
87,83,86,71
88,88,77,58
89,82,58,64
90,83,78,61
91,100,100,72
92,85,54,81
93,89,100,64
94,83,84,75
95,84,66,49
96,98,81,59
97,86,100,75
98,85,71,80
99,95,92,79
100,95,97,81
101,98,67,54
102,92,89,65
103,72,88,44
104,96,73,68
105,95,90,72
106,100,75,67
107,82,71,61
108,100,61,74
109,78,86,75
110,97,74,71
111,90,72,64
112,85,63,70
113,98,60,71
114,87,68,73
115,67,91,76
116,78,68,70
117,95,100,56
118,100,86,67
119,75,82,74
120,90,62,66
121,100,100,72
122,96,58,63
123,86,88,83
124,76,100,74
125,72,77,71
126,83,70,78
127,86,80,78
128,68,94,71
129,73,100,80
130,93,89,77
131,86,64,72
132,82,70,70
133,86,83,59
134,82,61,72
135,99,76,72
136,100,100,62
137,100,64,84
138,97,97,70
139,97,66,59
140,100,75,66
141,100,79,70
142,100,57,70
143,100,78,62
144,84,99,70
145,74,91,55
146,99,90,66
147,89,68,74
148,89,78,63
149,81,83,76
150,77,90,78
151,100,100,64
152,95,65,46
153,79,100,79
154,94,76,83
155,93,76,54
156,95,62,72
157,100,79,73
158,90,77,54
159,77,61,65
160,90,76,83
161,84,82,72
162,95,74,70
163,92,92,82
164,93,65,64
165,84,93,52
166,94,77,84
167,85,86,62
168,95,52,70
169,87,82,82
170,79,79,73
171,95,94,72
172,83,62,64
173,100,100,76
174,94,64,92
175,95,100,65
176,91,89,59
177,89,69,73
178,66,100,63
179,100,62,72
180,82,77,71
181,100,83,75
182,84,88,72
183,89,83,74
184,88,92,83
185,80,87,61
186,88,80,71
187,95,66,74
188,86,75,58
189,77,94,61
190,84,63,67
191,92,82,65
192,100,49,82
193,98,70,72
194,93,56,100
195,80,99,67
196,99,53,67
197,90,76,93
198,88,91,65
199,99,89,92
200,96,92,39
201,95,96,64
202,78,87,85
203,84,93,86
204,73,79,75
205,92,80,64
206,90,54,69
207,99,83,78
208,92,99,74
209,86,69,80
210,100,62,63
211,80,81,79
212,77,97,83
213,84,98,100
214,95,57,78
215,87,87,78
216,86,70,62
217,79,84,57
218,100,46,48
219,84,94,75
220,79,74,91
221,89,83,70
222,82,77,46
223,88,64,73
224,100,88,69
225,86,73,67
226,90,70,88
227,86,90,83
228,88,79,86
229,98,70,63
230,95,94,74
231,87,71,60
232,81,80,82
233,89,91,60
234,98,94,83
235,90,98,73
236,89,100,73
237,72,81,56
238,100,68,78
239,75,100,53
240,77,100,58
241,86,76,61
242,90,91,91
243,90,74,72
244,82,57,64
245,87,96,76
246,84,85,95
247,72,82,69
248,87,100,60
249,83,100,60
250,94,70,70
251,89,63,88
252,100,52,69
253,97,80,68
254,99,74,61
255,100,85,59
256,97,80,81
257,88,70,74
258,100,74,75
259,81,57,57
260,90,98,76
261,99,72,74
262,87,89,86
263,97,70,81
264,82,81,68
265,85,89,74
266,95,76,74
267,97,68,70
268,100,100,62
269,89,77,80
270,93,89,93
271,96,79,70
272,95,68,87
273,77,100,67
274,84,86,67
275,100,85,70
276,78,46,68
277,96,84,80
278,86,93,82
279,100,84,45
280,82,78,79
281,90,98,74
282,70,84,88
283,90,89,62
284,100,96,72
285,75,95,83
286,100,60,80
287,83,85,86
288,89,69,63
289,62,50,64
290,100,84,76
291,81,54,57
292,85,73,75
293,77,42,80
294,80,65,74
295,100,73,57
296,85,80,65
297,99,72,67
298,88,66,75
299,93,66,73
300,85,100,66
