Date,Open,High,Low,Close,Volume
2023-06-04,155.08,210.47,124.02,182.81,32789
2023-06-05,170.81,236.54,126.7,172.91,12060
2023-06-06,129.09,232.56,92.52,157.86,13651
2023-06-07,151.08,223.95,115.04,186.82,41250
2023-06-08,189.29,213.74,90.26,166.97,12900
2023-06-09,189.63,232.61,104.79,174.77,25000
2023-06-10,112.56,247.82,132.36,158.12,23758
2023-06-11,120.72,221.78,93.69,163.12,49870
2023-06-12,105.15,203.51,107.68,163.8,24187
2023-06-13,144.08,202.89,149.29,165.79,11887
2023-06-14,102.99,204.14,148.27,150.89,38272
2023-06-15,145.68,247.99,118.91,176.41,26482
2023-06-16,164.91,227.04,134.14,156.8,47696
2023-06-17,127.85,241.87,127.96,174.13,19752
2023-06-18,167.63,208.5,117.94,174.78,31035
2023-06-19,159.09,213.02,141.42,177.92,30443
2023-06-20,102.4,234.6,100.35,161.68,23607
2023-06-21,155.89,244.78,139.71,161.68,38418
2023-06-22,125.93,217.03,92.52,180.22,39601
2023-06-23,141.51,203.23,142.02,165.53,35454
2023-06-24,128.35,243.21,130.56,156.1,30047
2023-06-25,169.31,214.54,116.75,186.21,35333
2023-06-26,144.05,237.05,130.29,150.52,42752
2023-06-27,115.69,207.9,117.62,185.46,37142
2023-06-28,154.46,234.75,136.8,161.69,29766
2023-06-29,178.03,242.07,96.81,165.27,43407
2023-06-30,130.64,236.36,120.49,189.14,24720
2023-07-01,122.2,217.96,142.29,167.47,48956
2023-07-02,138.8,236.33,145.65,178.64,13235
2023-07-03,193.64,206.97,103.22,166.5,28506
2023-07-04,197.6,215.69,105.12,186.54,41489
2023-07-05,167.24,220.98,144.24,178.78,29511
2023-07-06,190.28,243.86,110.73,169.23,43874
2023-07-07,184.58,207.69,93.41,153.37,49371
2023-07-08,137.8,244.01,132.89,164.55,46348
2023-07-09,109.22,239.95,114.87,169.62,49331
2023-07-10,165.34,248.58,134.12,161.35,24825
2023-07-11,155.78,218.39,118.63,171.39,21162
2023-07-12,136.16,210.25,120.03,158.39,15679
2023-07-13,122.51,212.03,115.05,169.77,37282
2023-07-14,140.65,241.39,107.43,171.12,21964
2023-07-15,146.89,248.26,144.04,176.93,33073
2023-07-16,126.92,234.94,130.13,179.81,34510
2023-07-17,129.18,224.12,137.33,179.2,39987
2023-07-18,145.77,214.35,143.74,166.96,48022
2023-07-19,186.05,241.68,105.01,168.24,31653
2023-07-20,158.63,243.61,145.19,184.94,27623
2023-07-21,128.35,204.61,141.76,164.51,48255
2023-07-22,127.8,210.8,120.37,179.52,35458
2023-07-23,145.46,241.59,124.07,189.76,13343
2023-07-24,120.54,242.42,96.9,186.99,45542
2023-07-25,120.14,215.73,135.73,171.97,30443
2023-07-26,151.4,213.96,100.39,162.2,47964
2023-07-27,108.72,221.54,122.03,174.89,23005
2023-07-28,148.36,226.97,97.59,177.37,30002
2023-07-29,136.22,204.78,94.38,171.08,22228
2023-07-30,170.77,241.85,126.54,163.66,18260
2023-07-31,174.67,226.74,119.47,168.22,35563
2023-08-01,169.11,238.75,130.49,153.27,10053
2023-08-02,168.92,211.54,137.45,161.65,32995
2023-08-03,137.36,248.26,148.96,155.8,42500
2023-08-04,166.81,237.55,95.04,176.66,22771
2023-08-05,133.98,217.15,127.87,188.37,35318
2023-08-06,157.28,247.43,124.62,156.29,33931
2023-08-07,132.58,235.03,129.04,151.13,20903
2023-08-08,144.51,242.03,122.59,179.65,22257
2023-08-09,106.15,202.27,123.44,164.17,44246
2023-08-10,124.27,202.78,142.11,170.24,32745
2023-08-11,197.16,237.14,117.12,152.44,18671
2023-08-12,123.06,215.23,122.1,157.11,29918
2023-08-13,169.15,225.84,131.46,177.82,36006
2023-08-14,165.05,207.81,95.37,174.21,40607
2023-08-15,172.39,248.9,115.92,184.14,39807
2023-08-16,147.51,225.14,96.13,188.52,12026
2023-08-17,159.67,241.45,98.27,164.38,17934
2023-08-18,106.7,203.7,90.13,174.81,40153
