transaction_id,date,time,royalty_number,drink_type,unit_price,unit_sold,total_sale
1,2023-09-17,17:39,7509,Latte,60,1,60
2,2023-08-31,12:48, ,Iced Coffee,70,1,70
3,2023-07-17,09:48,8461,Mocha,60,1,60
4,2023-09-12,10:21, ,Latte,60,1,60
5,2023-07-09,09:17, ,Mocha,60,2,120
5,2023-07-09,09:17, ,Cappuccino,60,1,60
5,2023-07-09,09:17, ,Iced Coffee,70,1,70
5,2023-07-09,09:17, ,Latte,60,1,60
5,2023-07-09,09:17, ,Tea,40,1,40
6,2023-09-01,17:39,7887,Iced Coffee,70,1,70
7,2023-07-28,08:22,9293,Mocha,60,1,60
8,2023-07-31,10:43, ,Iced Coffee,70,4,280
9,2023-09-19,14:00,4017,Mocha,60,1,60
10,2023-07-08,08:53, ,Cappuccino,60,1,60
11,2023-09-15,14:50,3211,Espresso,40,1,40
12,2023-07-16,10:47, ,Latte,60,2,120
13,2023-08-23,09:18,6801,Latte,60,1,60
14,2023-09-19,13:01, ,Iced Coffee,70,1,70
15,2023-07-28,13:37,5014,Tea,40,1,40
16,2023-08-14,08:53, ,Espresso,40,3,120
17,2023-09-16,09:53,3844,Espresso,40,1,40
18,2023-09-14,17:08,1492,Cappuccino,60,2,120
19,2023-09-04,14:02,8913,Iced Coffee,70,1,70
19,2023-09-04,14:02,8913,Mocha,60,1,60
19,2023-09-04,14:02,8913,Cappuccino,60,1,60
19,2023-09-04,14:02,8913,Tea,40,1,40
20,2023-08-17,12:10,4214,Espresso,40,1,40
21,2023-07-31,08:44,1640,Espresso,40,1,40
22,2023-09-23,14:26,7157,Iced Coffee,70,1,70
22,2023-09-23,14:26,7157,Mocha,60,1,60
23,2023-09-25,14:35,5191,Iced Coffee,70,1,70
24,2023-07-19,17:28,7801,Cappuccino,60,1,60
25,2023-07-10,17:01,3572,Tea,40,1,40
26,2023-08-11,11:45, ,Iced Coffee,70,1,70
27,2023-09-01,12:13,2543,Mocha,60,1,60
28,2023-07-02,12:39, ,Tea,40,1,40
29,2023-09-21,17:03, ,Iced Coffee,70,1,70
30,2023-07-17,13:07,1862,Tea,40,1,40
31,2023-09-17,12:57,5491,Latte,60,1,60
32,2023-07-06,13:06,8127,Mocha,60,1,60
33,2023-08-28,12:12,2714,Espresso,40,1,40
34,2023-07-01,10:02, ,Tea,40,1,40
35,2023-09-19,17:43,1389,Latte,60,1,60
36,2023-07-05,11:57, ,Cappuccino,60,1,60
37,2023-08-06,09:36,8179,Latte,60,1,60
38,2023-08-21,08:03, ,Espresso,40,1,40
38,2023-08-21,08:03, ,Iced Coffee,70,1,70
38,2023-08-21,08:03, ,Cappuccino,60,1,60
39,2023-07-28,12:35,9179,Cappuccino,60,2,120
40,2023-08-01,09:55,9545,Iced Coffee,70,1,70
41,2023-07-03,11:29,3994,Tea,40,1,40
42,2023-09-07,12:42, ,Iced Coffee,70,1,70
43,2023-08-08,13:09, ,Tea,40,1,40
44,2023-09-22,08:08,8676,Tea,40,1,40
45,2023-07-20,12:01,1368,Iced Coffee,70,1,70
46,2023-07-19,13:26,1357,Latte,60,1,60
47,2023-07-08,10:00,5069,Latte,60,1,60
47,2023-07-08,10:00,5069,Mocha,60,2,120
47,2023-07-08,10:00,5069,Espresso,40,1,40
48,2023-07-31,08:24, ,Espresso,40,1,40
49,2023-09-01,09:59,2002,Tea,40,1,40
49,2023-09-01,09:59,2002,Latte,60,1,60
49,2023-09-01,09:59,2002,Cappuccino,60,1,60
49,2023-09-01,09:59,2002,Mocha,60,1,60
49,2023-09-01,09:59,2002,Iced Coffee,70,1,70
50,2023-07-12,16:22,8665,Cappuccino,60,4,240
51,2023-09-06,15:34, ,Iced Coffee,70,1,70
52,2023-09-04,10:52,1423,Cappuccino,60,1,60
53,2023-08-25,15:16, ,Latte,60,4,240
54,2023-07-04,13:49,3189,Tea,40,2,80
55,2023-09-30,13:13,2295,Tea,40,2,80
55,2023-09-30,13:13,2295,Latte,60,1,60
55,2023-09-30,13:13,2295,Espresso,40,2,80
55,2023-09-30,13:13,2295,Cappuccino,60,1,60
56,2023-09-17,13:55,6699,Tea,40,2,80
57,2023-07-28,12:30, ,Cappuccino,60,1,60
58,2023-07-30,17:34,8160,Latte,60,1,60
58,2023-07-30,17:34,8160,Cappuccino,60,1,60
58,2023-07-30,17:34,8160,Mocha,60,3,180
58,2023-07-30,17:34,8160,Iced Coffee,70,2,140
58,2023-07-30,17:34,8160,Espresso,40,1,40
59,2023-08-03,10:18,1434,Espresso,40,1,40
60,2023-09-28,16:30,9422,Cappuccino,60,1,60
61,2023-09-24,11:01,7171,Latte,60,1,60
62,2023-07-08,17:44,2345,Latte,60,1,60
63,2023-07-17,08:47,8103,Tea,40,1,40
63,2023-07-17,08:47,8103,Espresso,40,1,40
63,2023-07-17,08:47,8103,Iced Coffee,70,1,70
63,2023-07-17,08:47,8103,Mocha,60,1,60
64,2023-07-15,13:42, ,Cappuccino,60,1,60
65,2023-09-29,14:06,7651,Cappuccino,60,1,60
66,2023-08-01,11:44,4841,Latte,60,1,60
66,2023-08-01,11:44,4841,Espresso,40,1,40
66,2023-08-01,11:44,4841,Cappuccino,60,1,60
66,2023-08-01,11:44,4841,Mocha,60,4,240
67,2023-07-10,12:17,3868,Espresso,40,1,40
68,2023-08-08,12:35,9273,Tea,40,1,40
69,2023-08-17,10:03,2894,Espresso,40,1,40
70,2023-07-17,17:50, ,Iced Coffee,70,1,70
70,2023-07-17,17:50, ,Cappuccino,60,1,60
70,2023-07-17,17:50, ,Latte,60,1,60
71,2023-07-06,14:47, ,Cappuccino,60,1,60
71,2023-07-06,14:47, ,Iced Coffee,70,1,70
71,2023-07-06,14:47, ,Latte,60,1,60
71,2023-07-06,14:47, ,Espresso,40,1,40
71,2023-07-06,14:47, ,Tea,40,1,40
72,2023-08-04,17:56, ,Cappuccino,60,1,60
73,2023-08-15,14:32,9421,Tea,40,1,40
74,2023-08-29,15:25,2904,Tea,40,1,40
