StudentID,HW1,HW2,Final,Total,Grade
14,100,91,90,93.0,S
35,82,88,98,92.0,S
42,96,81,95,92.0,S
46,84,91,89,89.0,S
59,84,78,97,89.0,S
12,99,77,89,89.0,S
32,100,100,76,88.0,S
86,100,66,93,88.0,S
48,90,78,91,88.0,S
97,97,100,74,87.0,S
62,100,81,83,87.0,S
51,100,67,87,86.0,S
66,92,79,86,86.0,S
26,83,84,87,86.0,S
5,87,99,78,86.0,S
17,85,93,81,85.0,S
68,79,100,78,84.0,S
71,80,93,81,84.0,S
73,88,74,86,84.0,S
91,84,71,89,84.0,S
6,86,82,84,84.0,S
99,87,79,85,84.0,S
31,97,77,81,84.0,S
65,83,100,74,83.0,S
43,86,82,81,83.0,S
100,100,72,79,83.0,S
1,100,93,67,82.0,S
9,90,90,74,82.0,S
54,100,81,73,82.0,S
75,95,78,77,82.0,S
82,92,90,70,81.0,S
81,76,100,73,81.0,S
74,100,72,75,81.0,S
7,89,72,81,81.0,S
49,68,93,81,81.0,S
44,73,99,76,81.0,S
85,91,50,88,80.0,S
83,96,72,76,80.0,S
80,100,89,64,80.0,S
47,81,86,76,80.0,S
90,80,72,83,80.0,S
16,86,87,73,80.0,S
60,71,95,76,80.0,S
50,87,87,72,80.0,S
64,100,61,79,80.0,S
24,92,54,86,80.0,S
20,79,100,68,79.0,S
19,100,67,74,79.0,S
79,76,96,71,79.0,S
77,96,61,79,79.0,S
45,84,69,81,79.0,S
39,100,72,71,79.0,S
3,91,79,70,78.0,S
22,88,86,68,78.0,S
4,71,88,75,78.0,S
28,88,84,70,78.0,S
61,100,68,69,77.0,S
88,81,84,70,77.0,S
38,80,93,66,77.0,S
55,100,80,61,76.0,S
56,79,86,68,76.0,S
29,82,70,76,76.0,S
33,78,92,67,76.0,S
13,99,74,65,76.0,S
34,84,72,74,76.0,S
18,75,87,70,76.0,S
70,100,86,58,76.0,S
10,85,85,66,76.0,S
89,61,90,73,75.0,S
25,80,83,68,75.0,S
2,94,61,72,75.0,S
37,81,73,73,75.0,S
23,100,69,64,75.0,S
69,94,64,71,75.0,S
63,88,76,68,75.0,S
94,94,84,59,74.0,S
57,98,69,64,74.0,S
76,97,56,71,74.0,S
98,81,98,58,74.0,S
15,91,70,67,74.0,S
30,88,69,67,73.0,S
87,90,65,68,73.0,S
8,84,69,69,73.0,S
72,99,70,61,73.0,S
53,100,62,64,73.0,S
95,84,87,59,73.0,S
36,66,73,73,72.0,S
52,99,96,46,72.0,S
93,80,78,64,72.0,S
84,82,78,62,71.0,S
21,78,70,65,70.0,S
11,77,72,64,70.0,S
41,74,66,68,69.0,S
58,71,79,63,69.0,S
78,92,78,51,68.0,S
96,89,68,54,67.0,S
27,96,79,43,66.0,S
67,92,58,56,66.0,S
92,85,57,58,65.0,U
40,89,55,57,65.0,U
