StudentID,HW1,HW2,Final,Total,Grade
213,84,98,100,96.0,S
199,99,89,92,93.0,S
270,93,89,93,92.0,S
3,100,90,89,92.0,S
242,90,91,91,91.0,S
78,88,100,88,91.0,S
234,98,94,83,90.0,S
246,84,85,95,90.0,S
100,95,97,81,89.0,S
17,100,100,78,89.0,S
50,89,98,81,88.0,S
84,98,92,80,88.0,S
82,93,99,80,88.0,S
173,100,100,76,88.0,S
203,84,93,86,88.0,S
81,100,81,84,88.0,S
194,93,56,100,88.0,S
197,90,76,93,88.0,S
14,96,96,77,87.0,S
85,100,100,74,87.0,S
184,88,92,83,87.0,S
34,89,100,78,87.0,S
48,95,97,77,87.0,S
163,92,92,82,87.0,S
262,87,89,86,87.0,S
99,95,92,79,87.0,S
16,83,77,92,86.0,S
24,86,85,85,86.0,S
227,86,90,83,86.0,S
121,100,100,72,86.0,S
278,86,93,82,86.0,S
174,94,64,92,86.0,S
91,100,100,72,86.0,S
212,77,97,83,85.0,S
230,95,94,74,85.0,S
208,92,99,74,85.0,S
207,99,83,78,85.0,S
228,88,79,86,85.0,S
123,86,88,83,85.0,S
73,100,100,70,85.0,S
284,100,96,72,85.0,S
153,79,100,79,85.0,S
277,96,84,80,85.0,S
166,94,77,84,85.0,S
260,90,98,76,85.0,S
272,95,68,87,85.0,S
287,83,85,86,85.0,S
256,97,80,81,85.0,S
285,75,95,83,84.0,S
220,79,74,91,84.0,S
129,73,100,80,84.0,S
281,90,98,74,84.0,S
138,97,97,70,84.0,S
62,100,74,80,84.0,S
290,100,84,76,84.0,S
130,93,89,77,84.0,S
245,87,96,76,84.0,S
202,78,87,85,84.0,S
226,90,70,88,84.0,S
154,94,76,83,84.0,S
28,86,88,80,84.0,S
97,86,100,75,84.0,S
169,87,82,82,84.0,S
235,90,98,73,84.0,S
171,95,94,72,84.0,S
236,89,100,73,84.0,S
181,100,83,75,84.0,S
43,91,84,79,84.0,S
105,95,90,72,83.0,S
160,90,76,83,83.0,S
137,100,64,84,83.0,S
75,78,100,76,83.0,S
83,97,90,72,83.0,S
215,87,87,78,83.0,S
41,87,99,72,83.0,S
282,70,84,88,83.0,S
65,96,78,79,83.0,S
263,97,70,81,83.0,S
31,98,97,67,83.0,S
38,100,81,75,83.0,S
70,98,86,72,82.0,S
10,87,100,69,82.0,S
275,100,85,70,82.0,S
2,87,100,69,82.0,S
269,89,77,80,82.0,S
157,100,79,73,82.0,S
35,89,74,81,82.0,S
251,89,63,88,82.0,S
151,100,100,64,82.0,S
175,95,100,65,82.0,S
219,84,94,75,82.0,S
232,81,80,82,82.0,S
67,100,76,75,82.0,S
224,100,88,69,82.0,S
124,76,100,74,81.0,S
127,86,80,78,81.0,S
136,100,100,62,81.0,S
144,84,99,70,81.0,S
146,99,90,66,81.0,S
150,77,90,78,81.0,S
64,82,92,74,81.0,S
238,100,68,78,81.0,S
63,88,67,84,81.0,S
268,100,100,62,81.0,S
265,85,89,74,81.0,S
53,77,100,73,81.0,S
258,100,74,75,81.0,S
46,100,79,72,81.0,S
29,90,70,82,81.0,S
266,95,76,74,80.0,S
201,95,96,64,80.0,S
141,100,79,70,80.0,S
280,82,78,79,80.0,S
261,99,72,74,80.0,S
135,99,76,72,80.0,S
211,80,81,79,80.0,S
286,100,60,80,80.0,S
183,89,83,74,80.0,S
300,85,100,66,80.0,S
56,100,87,66,80.0,S
45,93,76,75,80.0,S
118,100,86,67,80.0,S
93,89,100,64,80.0,S
94,83,84,75,80.0,S
23,81,77,81,80.0,S
68,89,69,81,80.0,S
7,81,100,66,79.0,S
36,92,90,67,79.0,S
195,80,99,67,79.0,S
149,81,83,76,79.0,S
27,91,94,65,79.0,S
6,100,95,60,79.0,S
192,100,49,82,79.0,S
12,88,82,72,79.0,S
209,86,69,80,79.0,S
98,85,71,80,79.0,S
18,100,80,68,79.0,S
182,84,88,72,79.0,S
109,78,86,75,79.0,S
271,96,79,70,79.0,S
253,97,80,68,79.0,S
61,86,86,71,79.0,S
110,97,74,71,79.0,S
1,94,86,65,78.0,S
221,89,83,70,78.0,S
87,83,86,71,78.0,S
52,92,94,63,78.0,S
126,83,70,78,78.0,S
162,95,74,70,78.0,S
161,84,82,72,78.0,S
115,67,91,76,78.0,S
15,73,92,72,78.0,S
186,88,80,71,78.0,S
187,95,66,74,78.0,S
102,92,89,65,78.0,S
193,98,70,72,78.0,S
58,100,77,67,78.0,S
106,100,75,67,78.0,S
20,96,72,71,78.0,S
198,88,91,65,78.0,S
108,100,61,74,78.0,S
273,77,100,67,78.0,S
39,89,66,76,77.0,S
49,87,77,71,77.0,S
267,97,68,70,77.0,S
243,90,74,72,77.0,S
119,75,82,74,77.0,S
86,100,83,62,77.0,S
214,95,57,78,77.0,S
33,90,72,72,77.0,S
257,88,70,74,77.0,S
248,87,100,60,77.0,S
179,100,62,72,77.0,S
104,96,73,68,77.0,S
299,93,66,73,77.0,S
117,95,100,56,77.0,S
147,89,68,74,77.0,S
292,85,73,75,77.0,S
297,99,72,67,77.0,S
140,100,75,66,77.0,S
60,91,71,70,76.0,S
143,100,78,62,76.0,S
204,73,79,75,76.0,S
170,79,79,73,76.0,S
92,85,54,81,76.0,S
250,94,70,70,76.0,S
283,90,89,62,76.0,S
57,89,82,66,76.0,S
114,87,68,73,76.0,S
128,68,94,71,76.0,S
298,88,66,75,76.0,S
249,83,100,60,76.0,S
255,100,85,59,76.0,S
180,82,77,71,76.0,S
156,95,62,72,76.0,S
191,92,82,65,76.0,S
274,84,86,67,76.0,S
177,89,69,73,76.0,S
223,88,64,73,75.0,S
96,98,81,59,75.0,S
40,100,68,66,75.0,S
113,98,60,71,75.0,S
233,89,91,60,75.0,S
176,91,89,59,75.0,S
44,94,62,71,75.0,S
205,92,80,64,75.0,S
264,82,81,68,75.0,S
142,100,57,70,75.0,S
26,97,68,67,75.0,S
189,77,94,61,74.0,S
225,86,73,67,74.0,S
229,98,70,63,74.0,S
42,85,63,74,74.0,S
131,86,64,72,74.0,S
240,77,100,58,74.0,S
167,85,86,62,74.0,S
148,89,78,63,74.0,S
254,99,74,61,74.0,S
296,85,80,65,74.0,S
76,76,82,69,74.0,S
74,86,61,74,74.0,S
72,100,61,66,74.0,S
294,80,65,74,74.0,S
178,66,100,63,73.0,S
125,72,77,71,73.0,S
247,72,82,69,73.0,S
9,92,59,70,73.0,S
55,84,70,69,73.0,S
132,82,70,70,73.0,S
37,92,79,60,73.0,S
185,80,87,61,73.0,S
111,90,72,64,73.0,S
69,61,72,79,73.0,S
32,84,76,65,73.0,S
252,100,52,69,73.0,S
19,75,67,73,72.0,S
295,100,73,57,72.0,S
13,86,88,56,72.0,S
210,100,62,63,72.0,S
164,93,65,64,72.0,S
134,82,61,72,72.0,S
168,95,52,70,72.0,S
112,85,63,70,72.0,S
196,99,53,67,72.0,S
133,86,83,59,72.0,S
116,78,68,70,72.0,S
139,97,66,59,71.0,S
4,87,88,53,71.0,S
288,89,69,63,71.0,S
79,84,77,61,71.0,S
165,84,93,52,71.0,S
241,86,76,61,71.0,S
21,80,78,63,71.0,S
