StudentID,HW1,HW2,Final,Total,Grade
117,100,95,94,96.0,S
56,92,92,93,93.0,S
112,94,91,90,92.0,S
174,100,89,86,91.0,S
162,99,99,83,91.0,S
63,91,93,87,90.0,S
131,100,95,81,90.0,S
195,87,89,90,89.0,S
179,87,86,91,89.0,S
136,92,89,86,89.0,S
95,100,100,77,89.0,S
103,96,79,88,88.0,S
87,84,100,84,88.0,S
27,100,100,76,88.0,S
48,100,75,85,87.0,S
91,90,95,81,87.0,S
155,100,89,78,87.0,S
138,99,75,86,87.0,S
175,100,75,86,87.0,S
4,97,100,75,87.0,S
58,96,78,85,86.0,S
16,94,92,78,86.0,S
64,83,80,89,86.0,S
158,87,84,86,86.0,S
8,96,100,73,86.0,S
40,98,98,73,86.0,S
3,80,98,82,86.0,S
147,89,100,75,85.0,S
79,99,81,80,85.0,S
125,97,77,83,85.0,S
145,90,76,86,85.0,S
157,98,73,84,85.0,S
173,100,95,72,85.0,S
73,100,77,80,85.0,S
104,89,100,73,84.0,S
134,78,92,83,84.0,S
116,99,77,80,84.0,S
45,89,100,72,84.0,S
75,98,77,79,84.0,S
19,97,95,71,84.0,S
13,94,77,81,84.0,S
65,93,84,78,84.0,S
31,83,77,87,84.0,S
166,80,100,77,84.0,S
26,94,100,71,84.0,S
122,100,100,68,84.0,S
69,92,76,84,84.0,S
22,91,83,80,84.0,S
120,88,81,81,83.0,S
2,95,81,77,83.0,S
126,95,87,75,83.0,S
86,100,79,76,83.0,S
105,100,89,70,83.0,S
121,94,89,71,82.0,S
78,94,64,85,82.0,S
47,87,84,77,82.0,S
9,93,74,80,82.0,S
123,87,89,75,82.0,S
176,91,90,72,82.0,S
51,98,82,72,81.0,S
169,91,76,78,81.0,S
11,96,100,63,81.0,S
178,88,92,71,81.0,S
71,100,88,67,81.0,S
108,87,100,68,81.0,S
99,81,93,74,81.0,S
33,90,100,66,81.0,S
146,85,86,75,81.0,S
160,92,60,86,81.0,S
42,95,79,74,81.0,S
84,84,100,70,81.0,S
44,90,90,72,81.0,S
152,92,82,74,81.0,S
93,92,100,64,80.0,S
92,92,85,71,80.0,S
102,97,73,74,80.0,S
101,97,98,62,80.0,S
41,79,90,74,80.0,S
137,93,68,78,80.0,S
196,90,79,75,80.0,S
14,93,71,78,80.0,S
32,95,100,61,80.0,S
