OriginCity,OriginLat,OriginLong,DestCity,DestLat,DestLong,Distance,TimeOfFlight,AirFarePrice
City_1,38.34,-115.38,City_2,44.41,-110.69,779.87,3.58,957.0
City_1,38.34,-115.38,City_3,30.0,-102.72,1486.31,1.53,448.0
City_1,38.34,-115.38,City_4,36.05,-100.16,1370.29,,
City_1,38.34,-115.38,City_5,32.94,-93.06,2098.47,3.01,553.0
City_2,44.41,-110.69,City_3,30.0,-102.72,1748.76,,
City_2,44.41,-110.69,City_4,36.05,-100.16,1287.56,,
City_2,44.41,-110.69,City_5,32.94,-93.06,1984.64,,
City_3,30.0,-102.72,City_4,36.05,-100.16,713.73,,
City_3,30.0,-102.72,City_5,32.94,-93.06,972.25,2.83,946.0
City_4,36.05,-100.16,City_5,32.94,-93.06,736.57,,
