Date,Open,High,Low,Close,Volume
2023-05-05,196.7,203.68,133.42,180.61,44359
2023-05-06,154.72,206.74,109.61,157.04,47517
2023-05-07,197.27,237.0,118.61,177.4,27597
2023-05-08,171.48,241.69,146.88,181.98,12023
2023-05-09,169.77,204.44,142.08,185.5,40056
2023-05-10,121.61,241.47,106.39,161.93,48439
2023-05-11,197.63,239.34,114.02,186.49,42128
2023-05-12,100.62,234.41,124.27,173.43,34570
2023-05-13,125.3,217.0,97.17,161.77,20111
2023-05-14,143.48,222.23,137.77,151.24,44283
2023-05-15,177.94,218.32,109.43,176.59,11104
2023-05-16,119.77,242.02,96.94,187.98,40602
2023-05-17,186.3,216.42,132.43,172.98,29191
2023-05-18,198.34,216.13,120.89,162.01,36955
2023-05-19,116.38,246.76,91.63,163.19,44296
2023-05-20,159.73,246.0,123.77,169.63,45936
2023-05-21,100.9,248.43,135.85,189.36,25651
2023-05-22,138.66,240.38,91.86,167.22,28195
2023-05-23,104.42,204.35,129.46,165.49,19452
2023-05-24,195.67,204.55,105.01,169.78,44573
2023-05-25,143.61,227.85,116.12,158.87,18219
2023-05-26,194.9,242.81,94.33,161.63,21933
2023-05-27,178.63,244.21,121.93,182.4,10471
2023-05-28,186.63,231.84,146.33,185.72,18138
2023-05-29,117.32,247.79,108.29,164.81,30863
2023-05-30,107.49,207.59,93.81,169.28,34994
2023-05-31,160.07,211.08,140.89,186.14,29155
2023-06-01,116.8,216.62,146.86,178.54,12242
2023-06-02,173.34,212.84,119.46,168.31,14126
2023-06-03,140.84,215.61,144.51,188.32,45989
2023-06-04,152.79,205.92,144.52,185.42,46802
2023-06-05,193.76,218.77,134.07,168.5,24866
2023-06-06,152.17,201.49,139.88,157.74,35731
2023-06-07,110.82,226.89,99.72,183.44,37654
2023-06-08,115.82,247.29,140.73,185.9,18165
2023-06-09,154.52,222.26,114.94,176.88,47813
2023-06-10,152.44,231.21,107.2,182.22,41321
2023-06-11,163.76,230.59,123.71,150.76,23381
2023-06-12,140.15,246.67,141.45,174.82,49371
2023-06-13,164.98,236.73,115.99,182.28,28695
2023-06-14,139.69,241.24,94.67,161.43,18011
2023-06-15,162.39,216.79,107.24,156.21,18643
2023-06-16,176.74,245.37,107.12,185.62,28937
2023-06-17,117.9,209.26,131.82,181.29,11419
2023-06-18,137.56,220.4,147.3,164.33,33899
2023-06-19,150.25,236.87,123.01,173.11,37152
2023-06-20,168.67,216.67,105.22,159.12,14331
2023-06-21,125.37,244.31,132.19,163.25,42819
2023-06-22,155.47,243.03,98.86,177.46,46732
2023-06-23,162.49,208.26,93.7,180.45,22666
2023-06-24,189.55,211.54,128.94,185.18,47808
2023-06-25,136.29,202.62,112.55,176.36,46562
2023-06-26,163.76,242.94,117.05,181.98,49282
2023-06-27,119.14,216.96,94.44,157.58,22313
2023-06-28,149.78,219.66,118.78,178.76,13089
2023-06-29,118.24,213.52,126.37,189.23,44324
2023-06-30,191.84,206.16,148.95,186.35,17155
2023-07-01,143.18,222.85,91.29,181.37,28710
2023-07-02,183.02,211.74,121.0,185.72,38778
2023-07-03,141.68,228.16,119.21,168.2,32778
2023-07-04,190.47,210.14,127.51,162.71,33767
2023-07-05,140.48,225.57,141.19,175.55,46280
2023-07-06,133.12,247.42,119.88,173.42,36725
2023-07-07,157.21,218.59,124.35,151.61,35874
2023-07-08,184.54,247.71,120.15,160.8,15660
2023-07-09,186.1,202.86,137.79,173.38,38718
2023-07-10,159.57,227.44,144.42,152.6,46948
2023-07-11,108.47,229.99,109.36,152.51,11383
2023-07-12,159.73,248.09,133.46,165.06,37401
2023-07-13,124.55,246.26,129.29,154.85,11203
2023-07-14,173.26,225.55,112.4,166.59,40483
2023-07-15,189.47,237.97,138.21,177.0,42705
2023-07-16,151.47,248.8,131.7,168.89,32969
2023-07-17,160.36,236.83,119.51,150.74,19940
2023-07-18,106.51,247.7,124.32,187.14,39154
2023-07-19,154.01,246.94,146.94,160.04,13796
2023-07-20,112.92,224.09,128.41,150.3,22976
2023-07-21,161.46,232.99,128.09,167.7,11865
2023-07-22,136.37,208.99,112.84,184.02,18394
2023-07-23,176.78,221.85,136.91,187.35,48288
2023-07-24,104.85,243.31,142.34,155.33,11309
2023-07-25,110.98,228.86,108.57,152.76,14146
2023-07-26,168.4,213.97,109.58,183.39,41419
2023-07-27,151.47,206.14,130.39,183.77,20443
2023-07-28,157.16,211.59,107.33,186.6,17400
2023-07-29,184.37,206.25,94.9,181.62,47810
2023-07-30,148.77,211.69,107.29,183.46,11495
2023-07-31,181.01,219.18,131.82,182.71,20238
2023-08-01,151.02,202.14,120.16,151.59,44609
2023-08-02,192.67,241.94,124.8,157.04,31127
2023-08-03,166.69,220.19,127.57,151.74,33698
2023-08-04,114.87,228.37,122.11,150.04,15419
2023-08-05,136.46,231.81,147.68,189.06,45503
2023-08-06,186.58,206.64,138.64,189.97,38128
2023-08-07,135.03,204.14,147.8,172.22,19727
2023-08-08,118.9,207.83,131.6,155.92,22279
2023-08-09,147.26,249.31,138.1,155.45,36292
2023-08-10,139.28,205.23,135.08,186.46,21101
2023-08-11,161.89,221.13,146.47,186.71,28073
2023-08-12,143.68,243.75,110.43,173.39,48132
2023-08-13,126.09,229.21,109.47,178.89,46121
2023-08-14,141.25,200.88,90.72,173.98,28600
2023-08-15,141.9,244.44,94.07,178.52,48606
2023-08-16,190.24,219.21,147.7,189.13,15365
2023-08-17,197.96,208.39,118.5,167.39,35478
2023-08-18,162.36,216.86,97.3,153.09,39617
2023-08-19,108.32,229.71,96.47,153.12,23320
2023-08-20,173.3,201.89,121.06,176.17,18103
2023-08-21,167.87,232.17,129.09,152.36,11276
2023-08-22,182.6,230.51,140.05,154.32,41043
2023-08-23,134.75,211.44,124.29,185.32,32573
2023-08-24,105.89,221.3,110.03,187.52,35079
2023-08-25,161.18,209.68,132.05,154.54,24506
2023-08-26,112.4,201.07,101.26,158.84,46868
2023-08-27,175.95,229.2,109.97,189.63,48426
2023-08-28,179.44,222.27,97.26,186.79,22128
2023-08-29,140.86,242.1,130.84,175.13,14732
2023-08-30,194.38,209.95,122.38,168.96,43781
2023-08-31,117.38,222.03,116.37,181.59,15573
2023-09-01,194.26,233.37,103.82,169.51,24516
2023-09-02,146.55,203.42,140.62,189.03,11245
2023-09-03,176.3,217.77,113.79,180.73,30393
2023-09-04,175.28,234.3,144.74,175.48,13114
2023-09-05,198.12,212.25,106.31,154.48,41480
2023-09-06,197.33,218.2,128.24,178.82,46142
2023-09-07,104.01,228.87,134.25,154.7,11933
2023-09-08,101.6,220.47,100.16,155.85,45036
2023-09-09,154.33,243.84,100.92,184.5,24991
2023-09-10,103.39,242.99,135.88,172.93,42091
2023-09-11,165.75,241.7,95.36,172.52,44126
2023-09-12,153.49,221.31,118.7,177.94,22347
2023-09-13,166.66,209.51,94.97,183.81,20345
2023-09-14,144.13,231.94,147.82,187.87,14204
2023-09-15,127.25,221.41,140.11,152.58,18132
2023-09-16,194.97,225.29,103.94,151.61,39462
2023-09-17,172.83,232.55,140.61,153.1,20161
2023-09-18,100.63,247.0,134.85,189.12,30371
2023-09-19,109.93,240.41,96.51,171.36,38019
2023-09-20,163.17,206.16,106.01,165.02,32049
2023-09-21,128.8,245.37,128.51,174.37,43562
2023-09-22,140.76,233.85,132.43,154.85,40340
2023-09-23,178.15,215.97,110.62,165.55,32810
2023-09-24,135.41,236.5,97.74,161.84,25050
2023-09-25,192.58,223.75,119.69,176.99,10633
2023-09-26,172.05,228.05,135.84,156.26,17057
2023-09-27,155.19,228.59,121.27,188.92,31351
2023-09-28,118.1,207.57,101.66,151.65,20595
2023-09-29,140.96,218.1,108.26,154.12,40734
2023-09-30,176.29,221.79,135.44,156.61,10536
2023-10-01,199.08,202.89,117.64,189.59,26935
