OriginCity,OriginLat,OriginLong,DestCity,DestLat,DestLong,Distance,TimeOfFlight,AirFarePrice
City_1,49.34,-98.19,City_2,40.94,-72.55,2203.06,3.31,793.0
City_1,49.34,-98.19,City_3,49.45,-80.68,1264.41,3.1,516.0
City_1,49.34,-98.19,City_4,44.3,-76.69,1722.2,,
City_1,49.34,-98.19,City_5,43.95,-111.34,1166.75,,
City_1,49.34,-98.19,City_6,34.32,-116.25,2230.77,3.0,109.0
City_1,49.34,-98.19,City_7,49.53,-89.96,595.2,,
City_1,49.34,-98.19,City_8,30.12,-111.6,2417.01,3.37,493.0
City_1,49.34,-98.19,City_9,35.06,-83.33,1997.22,0.84,402.0
City_1,49.34,-98.19,City_10,38.7,-99.58,1188.27,,
City_1,49.34,-98.19,City_11,45.59,-93.6,541.02,4.24,593.0
City_1,49.34,-98.19,City_12,33.95,-73.12,2673.74,,
City_1,49.34,-98.19,City_13,47.26,-93.92,391.38,4.57,758.0
City_1,49.34,-98.19,City_14,49.67,-114.59,1182.43,,
City_1,49.34,-98.19,City_15,33.28,-112.09,2122.41,,
City_1,49.34,-98.19,City_16,41.95,-92.74,923.92,,
City_1,49.34,-98.19,City_17,30.18,-93.78,2162.63,,
City_1,49.34,-98.19,City_18,37.73,-88.12,1521.96,3.19,541.0
City_1,49.34,-98.19,City_19,30.88,-99.93,2057.84,1.48,796.0
City_1,49.34,-98.19,City_20,49.13,-87.51,775.13,,
City_2,40.94,-72.55,City_3,49.45,-80.68,1139.26,,
City_2,40.94,-72.55,City_4,44.3,-76.69,504.18,2.93,703.0
City_2,40.94,-72.55,City_5,43.95,-111.34,3170.96,,
City_2,40.94,-72.55,City_6,34.32,-116.25,3876.86,,
City_2,40.94,-72.55,City_7,49.53,-89.96,1658.16,0.6,792.0
City_2,40.94,-72.55,City_8,30.12,-111.6,3697.65,3.58,102.0
City_2,40.94,-72.55,City_9,35.06,-83.33,1147.38,,
City_2,40.94,-72.55,City_10,38.7,-99.58,2312.59,4.24,938.0
City_2,40.94,-72.55,City_11,45.59,-93.6,1775.17,,
City_2,40.94,-72.55,City_12,33.95,-73.12,778.87,,
City_2,40.94,-72.55,City_13,47.26,-93.92,1837.96,,
City_2,40.94,-72.55,City_14,49.67,-114.59,3379.07,,
City_2,40.94,-72.55,City_15,33.28,-112.09,3575.91,2.14,258.0
City_2,40.94,-72.55,City_16,41.95,-92.74,1682.69,1.19,603.0
City_2,40.94,-72.55,City_17,30.18,-93.78,2253.35,2.27,309.0
City_2,40.94,-72.55,City_18,37.73,-88.12,1383.72,,
City_2,40.94,-72.55,City_19,30.88,-99.93,2692.81,1.12,614.0
City_2,40.94,-72.55,City_20,49.13,-87.51,1482.52,4.56,471.0
City_3,49.45,-80.68,City_4,44.3,-76.69,647.78,4.45,55.0
City_3,49.45,-80.68,City_5,43.95,-111.34,2398.5,,
City_3,49.45,-80.68,City_6,34.32,-116.25,3347.01,,
City_3,49.45,-80.68,City_7,49.53,-89.96,669.93,,
City_3,49.45,-80.68,City_8,30.12,-111.6,3365.2,0.76,770.0
City_3,49.45,-80.68,City_9,35.06,-83.33,1614.62,1.89,510.0
City_3,49.45,-80.68,City_10,38.7,-99.58,1916.48,,
City_3,49.45,-80.68,City_11,45.59,-93.6,1059.12,4.75,346.0
City_3,49.45,-80.68,City_12,33.95,-73.12,1831.95,1.38,485.0
City_3,49.45,-80.68,City_13,47.26,-93.92,1006.7,,
City_3,49.45,-80.68,City_14,49.67,-114.59,2425.0,,
City_3,49.45,-80.68,City_15,33.28,-112.09,3142.53,,
City_3,49.45,-80.68,City_16,41.95,-92.74,1251.33,,
City_3,49.45,-80.68,City_17,30.18,-93.78,2409.2,0.57,804.0
City_3,49.45,-80.68,City_18,37.73,-88.12,1432.65,,
City_3,49.45,-80.68,City_19,30.88,-99.93,2618.2,,
City_3,49.45,-80.68,City_20,49.13,-87.51,496.45,4.54,981.0
City_4,44.3,-76.69,City_5,43.95,-111.34,2745.19,1.73,305.0
City_4,44.3,-76.69,City_6,34.32,-116.25,3540.94,3.36,926.0
